dataset,country_id,country,initial_observations,final_observations,original_variables,substantive_variables,final_variables,dup_observations_at_85,dup_observations_at_90,dup_observations_at_95,dup_observations_at_100,varlist
afrobarometer_wave1,1,Botswana,1200,1200,144,119,108,4,4,4,0,identity supdem rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpvot dmpsay defnew defjug defele spamar spafee sparet spaprv hltmen aidexp demoe1 demoe2 demoe3 demmaj demspc demele demmpd demnec dememp demedu demgap marsuc marjob marear marr
afrobarometer_wave1,2,Ghana,2004,2004,144,119,80,8,4,2,2,supdem supold supnow supfut rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpvot defnew defjug defele spamar spafee sparet spaprv sapknw sapmin sapsat demoe1 demoe2 marsuc marjob marear marrsk marhse marcdt marcom marsch maremp marcrm scint
afrobarometer_wave1,3,Lesotho,1177,1177,144,119,105,17,11,2,0,identity supdem rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpvot dmpsay defnew defjug defele spamar spafee sparet spaprv hltmen aidexp demoe1 demoe2 demoe3 demmaj demspc demele demmpd demnec dememp demedu demgap marsuc marjob marear marr
afrobarometer_wave1,4,Malawi,1208,1208,144,119,112,11,2,0,0,identity supdem supold supnow supfut rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpvot dmpsay defnew defjug defele spamar spafee sparet spaprv sapknw sapmin sapsat hltmen aidexp demoe1 demoe2 demoe3 demmaj demspc demele demmpd demnec deme
afrobarometer_wave1,5,Mali,2089,2089,144,119,108,15,6,2,2,identity supdem supold supnow supfut rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpsay defnew defjug defele spamar spafee sparet spaprv sapknw sapmin sapsat hltmen aidexp demoe1 demoe2 demoe3 demmaj demspc demele demmpd demnec dememp deme
afrobarometer_wave1,6,Namibia,1183,1182,144,119,106,51,27,12,0,identity supdem rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpvot dmpsay defnew defjug defele spamar spafee sparet spaprv hltmen aidexp demoe1 demoe2 demoe3 demmaj demspc demele demmpd demnec dememp demedu demgap marsuc marjob marear marr
afrobarometer_wave1,7,Nigeria,3603,3603,144,119,103,129,85,70,20,identity supdem supold supnow supfut rejone rejmil rejdic rejexp dmpext dmpsat dmpvot defnew defjug defele spamar spafee sparet spaprv sapknw sapmin sapsat demoe1 demmaj demspc demele demmpd demnec dememp demedu demgap marsuc marjob marear marr
afrobarometer_wave1,8,South Africa,2200,2200,144,119,118,94,71,25,10,identity supdem supold supnow supfut rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpvot dmpsay defnew defjug defele spamar spafee sparet spaprv sapknw sapmin sapsat hltmen aidexp demoe1 demoe2 demoe3 demmaj demspc demele demmpd demnec deme
afrobarometer_wave1,9,Tanzania,2198,2198,144,119,108,61,38,10,0,identity supdem supold supnow supfut rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpsay defnew defjug defele spamar spafee sparet spaprv sapknw sapmin sapsat hltmen aidexp demoe1 demoe2 demoe3 demmaj demspc demele demmpd demnec dememp deme
afrobarometer_wave1,10,Uganda,2271,2271,144,119,66,4,4,2,0,identity supdem rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpvot spamar spafee sparet spaprv sapknw sapsat hltmen demoe1 demoe2 demoe3 marsuc marjob marear sctrust scint scdsc scund pfeemp pfeprc pfegap pfenow pfepas pfefut pfeerd pfrele
afrobarometer_wave1,11,Zambia,1198,1192,144,119,111,32,13,4,0,identity supdem supold supnow rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpvot dmpsay defnew defjug defele spamar spafee sparet spaprv sapknw sapmin sapsat hltmen aidexp demoe1 demoe2 demoe3 demmaj demspc demele demmpd demnec dememp deme
afrobarometer_wave1,12,Zimbabwe,1200,1200,144,119,112,57,38,8,4,identity supdem rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpvot dmpsay defnew defjug defele spamar spafee sparet spaprv sapknw sapmin sapsat hltmen aidexp demoe1 demoe2 demoe3 demmaj demspc demele demmpd demnec dememp demedu demgap mars
afrobarometer_wave2,1,Botswana,1200,1200,330,230,226,4,4,2,0,q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19
afrobarometer_wave2,2,Ghana,1200,1200,330,230,228,26,20,14,0,q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19
afrobarometer_wave2,3,Lesotho,1200,1200,330,230,229,6,6,2,0,q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19
afrobarometer_wave2,4,Malawi,1200,1200,330,230,226,6,6,4,0,q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19
