"dataset","country_id","country","initial_observations.x","final_observations.x","original_variables","substantive_variables","final_variables.x","dup_observations_at_85.x","dup_observations_at_90.x","dup_observations_at_95.x","dup_observations_at_100.x","varlist","initial_observations.y","final_observations.y","orig_dat_vars","substantive_dat_vars","final_variables.y","dup_observations_at_85.y","dup_observations_at_90.y","dup_observations_at_95.y","dup_observations_at_100.y","comp_at_85","comp_at_90","comp_at_95","comp_at_100"
"afrobarometer_wave1",1,"botswana",1200,1200,144,119,108,4,4,4,0,"identity supdem rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpvot dmpsay defnew defjug defele spamar spafee sparet spaprv hltmen aidexp demoe1 demoe2 demoe3 demmaj demspc demele demmpd demnec dememp demedu demgap marsuc marjob marear marr",1200,1200,144,119,110,4,4,4,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave1",2,"ghana",2004,2004,144,119,80,8,4,2,2,"supdem supold supnow supfut rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpvot defnew defjug defele spamar spafee sparet spaprv sapknw sapmin sapsat demoe1 demoe2 marsuc marjob marear marrsk marhse marcdt marcom marsch maremp marcrm scint",2004,2004,144,119,81,8,4,2,2,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave1",3,"lesotho",1177,1177,144,119,105,17,11,2,0,"identity supdem rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpvot dmpsay defnew defjug defele spamar spafee sparet spaprv hltmen aidexp demoe1 demoe2 demoe3 demmaj demspc demele demmpd demnec dememp demedu demgap marsuc marjob marear marr",1177,1177,144,119,110,17,11,2,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave1",4,"malawi",1208,1208,144,119,112,11,2,0,0,"identity supdem supold supnow supfut rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpvot dmpsay defnew defjug defele spamar spafee sparet spaprv sapknw sapmin sapsat hltmen aidexp demoe1 demoe2 demoe3 demmaj demspc demele demmpd demnec deme",1208,1208,144,119,114,11,2,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave1",5,"mali",2089,2089,144,119,108,15,6,2,2,"identity supdem supold supnow supfut rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpsay defnew defjug defele spamar spafee sparet spaprv sapknw sapmin sapsat hltmen aidexp demoe1 demoe2 demoe3 demmaj demspc demele demmpd demnec dememp deme",2089,2089,144,119,110,11,6,2,2,FALSE,TRUE,TRUE,TRUE
"afrobarometer_wave1",6,"namibia",1183,1182,144,119,106,51,27,12,0,"identity supdem rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpvot dmpsay defnew defjug defele spamar spafee sparet spaprv hltmen aidexp demoe1 demoe2 demoe3 demmaj demspc demele demmpd demnec dememp demedu demgap marsuc marjob marear marr",1183,1183,144,119,110,52,31,8,0,FALSE,FALSE,FALSE,TRUE
"afrobarometer_wave1",7,"nigeria",3603,3603,144,119,103,129,85,70,20,"identity supdem supold supnow supfut rejone rejmil rejdic rejexp dmpext dmpsat dmpvot defnew defjug defele spamar spafee sparet spaprv sapknw sapmin sapsat demoe1 demmaj demspc demele demmpd demnec dememp demedu demgap marsuc marjob marear marr",3603,3603,144,119,104,129,85,70,20,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave1",8,"south africa",2200,2200,144,119,118,94,71,25,10,"identity supdem supold supnow supfut rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpvot dmpsay defnew defjug defele spamar spafee sparet spaprv sapknw sapmin sapsat hltmen aidexp demoe1 demoe2 demoe3 demmaj demspc demele demmpd demnec deme",2200,2200,144,119,119,94,71,25,10,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave1",9,"tanzania",2198,2198,144,119,108,61,38,10,0,"identity supdem supold supnow supfut rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpsay defnew defjug defele spamar spafee sparet spaprv sapknw sapmin sapsat hltmen aidexp demoe1 demoe2 demoe3 demmaj demspc demele demmpd demnec dememp deme",2198,2198,144,119,110,56,38,6,0,FALSE,TRUE,FALSE,TRUE
"afrobarometer_wave1",10,"uganda",2271,2271,144,119,66,4,4,2,0,"identity supdem rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpvot spamar spafee sparet spaprv sapknw sapsat hltmen demoe1 demoe2 demoe3 marsuc marjob marear sctrust scint scdsc scund pfeemp pfeprc pfegap pfenow pfepas pfefut pfeerd pfrele",2271,2271,144,119,68,4,2,2,0,TRUE,FALSE,TRUE,TRUE
