"dataset","country_id","initial_observations","final_observations","orig_dat_vars","substantive_dat_vars","final_variables","dup_observations_at_85","dup_observations_at_90","dup_observations_at_95","dup_observations_at_100"
"Pew GAP final 44 country dataset 1.1sav","Vietnam",772,772,399,187,100,2,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Venezuela",700,700,399,187,127,15,5,0,0
"Pew GAP final 44 country dataset 1.1sav","Uzbekistan",700,700,399,187,133,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","US",1501,1501,399,187,130,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Ukraine",500,500,399,187,134,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Uganda",1008,1008,399,187,128,5,4,0,0
"Pew GAP final 44 country dataset 1.1sav","Turkey",1005,1005,399,187,142,37,12,10,0
"Pew GAP final 44 country dataset 1.1sav","Tanzania",720,720,399,187,128,16,12,2,0
"Pew GAP final 44 country dataset 1.1sav","South Korea",719,719,399,187,126,2,0,0,0
"Pew GAP final 44 country dataset 1.1sav","South Africa",700,700,399,187,130,2,2,0,0
"Pew GAP final 44 country dataset 1.1sav","Slovak Republic",500,500,399,187,136,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Senegal",710,710,399,187,140,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Russia",1002,1002,399,187,135,4,4,0,0
"Pew GAP final 44 country dataset 1.1sav","Poland",500,500,399,187,134,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Philippines",700,700,399,187,130,4,2,2,0
"Pew GAP final 44 country dataset 1.1sav","Peru",711,711,399,187,126,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Pakistan",2032,2032,399,187,140,19,2,0,0
"Pew GAP final 44 country dataset 1.1sav","Nigeria",1000,1000,399,187,137,142,80,37,0
"Pew GAP final 44 country dataset 1.1sav","Mexico",996,996,399,187,126,10,2,0,0
"Pew GAP final 44 country dataset 1.1sav","Mali",697,697,399,187,142,35,23,0,0
"Pew GAP final 44 country dataset 1.1sav","Lebanon",1000,1000,399,187,131,47,24,5,0
"Pew GAP final 44 country dataset 1.1sav","Kenya",658,658,399,187,131,6,6,6,0
"Pew GAP final 44 country dataset 1.1sav","Jordan",1000,1000,399,187,134,449,386,248,0
"Pew GAP final 44 country dataset 1.1sav","Japan",702,702,399,187,112,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Ivory Coast",708,708,399,187,133,0,0,0,0
"Pew GAP final 44 country dataset 1.1sav","Italy",508,508,399,187,110,0,0,0,0
