country_id,dup_observations_at_85,dup_observations_at_90,dup_observations_at_95,dup_observations_at_100
Algeria,226,182,121,13
Argentina,4,4,4,0
Armenia,0,0,0,0
Australia, ,0,0,0
Azerbaijan,27,17,10,0
Bahrain,0,0,0,0
Belarus,41,34,19,2
Brazil,0,0,0,0
Colombia,189,132,76,42
Cyprus (T),62,19,4,0
Chile,24,8,4,0
China,47,37,20,4
Ecuador,0,0,0,0
Egypt,0,0,0,0
Estonia,67,40,7,0
West Germany,8,0,0,0
East Germany,2,0,0,0
Ghana,0,0,0,0
Hong Kong,389,305,177,0
India,0,0,0,0
Iraq,0,0,0,0
Japan,4,0,0,0
Jordan,160,110,70,2
Kazakhstan,0,0,0,0
Kuwait,0,0,0,0
Kyrgyzstan,0,0,0,0
Lebanon,28,10,0,0
Libya,97,40,13,0
Malaysia,9,4,2,0
Mexico,0,0,0,0
Morocco,18,7,0,0
Netherlands,6,2,2,0
New Zealand,117,104,69,3
Nigeria,186,112,41,0
Pakistan,0,0,0,0
Palestine,11,9,8,0
Peru,0,0,0,0
Philippines,0,0,0,0
Poland,0,0,0,0
Qatar,0,0,0,0
Romania,0,0,0,0
Russia,0,0,0,0
Rwanda,0,0,0,0
Singapore,0,0,0,0
Slovenia,0,0,0,0
South Korea,0,0,0,0
South Africa,24,15,4,2
Spain,0,0,0,0
Sweden,0,0,0,0
Taiwan,0,0,0,0
Thailand,0,0,0,0
Trinidad and Tobago,29,20,11,2
Tunisia,0,0,0,0
Turkey,0,0,0,0
Ukraine,7,6,4,0
United States,6,6,5,2
Uruguay,15,5,2,0
Uzbekistan,0,0,0,0
Yemen,6,2,0,0
Zimbabwe,75,68,46,4
