"dataset","country","initial_observations","final_observations","orig_dat_vars","substantive_dat_vars","final_variables","dup_observations_at_85","dup_observations_at_90","dup_observations_at_95","dup_observations_at_100"
"worldvaluessurvey_wave6","Zimbabwe",1500,1500,387,281,238,74,66,41,4
"worldvaluessurvey_wave6","Yemen",1000,1000,387,281,243,6,2,0,0
"worldvaluessurvey_wave6","West Germany",1034,1034,387,281,247,0,0,0,0
"worldvaluessurvey_wave6","Uzbekistan",1500,1500,387,281,213,15,5,2,0
"worldvaluessurvey_wave6","Uruguay",1000,1000,387,281,237,0,0,0,0
"worldvaluessurvey_wave6","United States",2232,2232,387,281,225,13,12,9,3
"worldvaluessurvey_wave6","Ukraine",1500,1500,387,281,238,11,11,9,0
"worldvaluessurvey_wave6","Turkey",1605,1605,387,281,226,25,17,8,0
"worldvaluessurvey_wave6","Tunisia",1205,1205,387,281,244,33,24,15,2
"worldvaluessurvey_wave6","Trinidad and Tobago",999,999,387,281,223,2,2,0,0
"worldvaluessurvey_wave6","Thailand",1200,1200,387,281,250,95,65,19,0
"worldvaluessurvey_wave6","Taiwan",1238,1238,387,281,236,9,4,0,0
"worldvaluessurvey_wave6","Sweden",1206,1206,387,281,228,0,0,0,0
"worldvaluessurvey_wave6","Spain",1189,1189,387,281,218,6,4,4,2
"worldvaluessurvey_wave6","South Korea",1200,1200,387,281,226,15,6,0,0
"worldvaluessurvey_wave6","South Africa",3531,3531,387,281,250,2,2,2,0
"worldvaluessurvey_wave6","Slovenia",1069,1069,387,281,228,0,0,0,0
"worldvaluessurvey_wave6","Singapore",1972,1972,387,281,237,2,2,0,0
"worldvaluessurvey_wave6","Rwanda",1527,1527,387,281,250,32,16,7,0
"worldvaluessurvey_wave6","Russia",2500,2500,387,281,227,29,12,6,0
"worldvaluessurvey_wave6","Romania",1503,1503,387,281,238,0,0,0,0
"worldvaluessurvey_wave6","Qatar",1060,1060,387,281,193,0,0,0,0
"worldvaluessurvey_wave6","Poland",966,966,387,281,238,0,0,0,0
"worldvaluessurvey_wave6","Philippines",1200,1200,387,281,239,0,0,0,0
"worldvaluessurvey_wave6","Peru",1210,1210,387,281,237,11,9,8,0
"worldvaluessurvey_wave6","Palestine",1000,1000,387,281,245,32,15,0,0
"worldvaluessurvey_wave6","Pakistan",1200,1200,387,281,249,185,129,56,0
"worldvaluessurvey_wave6","Nigeria",1759,1759,387,281,238,194,159,87,3
"worldvaluessurvey_wave6","New Zealand",841,841,387,281,215,0,0,0,0
"worldvaluessurvey_wave6","Netherlands",1902,1902,387,281,249,16,7,3,0
"worldvaluessurvey_wave6","Morocco",1200,1200,387,281,216,48,5,0,0
"worldvaluessurvey_wave6","Mexico",2000,2000,387,281,240,0,0,0,0
"worldvaluessurvey_wave6","Malaysia",1300,1300,387,281,238,93,40,10,0
"worldvaluessurvey_wave6","Libya",2131,2131,387,281,250,28,6,0,0
"worldvaluessurvey_wave6","Lebanon",1200,1200,387,281,246,18,10,4,0
"worldvaluessurvey_wave6","Kyrgyzstan",1500,1500,387,281,238,262,170,61,0
"worldvaluessurvey_wave6","Kuwait",1303,1303,387,281,216,128,86,51,0
"worldvaluessurvey_wave6","Kazakhstan",1500,1500,387,281,238,224,170,107,2
"worldvaluessurvey_wave6","Jordan",1200,1200,387,281,245,0,0,0,0
"worldvaluessurvey_wave6","Japan",2443,2443,387,281,222,2,0,0,0
"worldvaluessurvey_wave6","Iraq",1200,1200,387,281,247,29,26,24,0
"worldvaluessurvey_wave6","India",1581,1581,387,281,249,627,466,264,0
"worldvaluessurvey_wave6","Hong Kong",1000,1000,387,281,240,0,0,0,0
"worldvaluessurvey_wave6","Ghana",1552,1552,387,281,238,14,6,6,0
"worldvaluessurvey_wave6","Estonia",1533,1533,387,281,238,2,0,0,0
"worldvaluessurvey_wave6","Egypt",1523,1523,387,281,228,107,47,9,0
"worldvaluessurvey_wave6","Ecuador",1202,1202,387,281,248,16,10,6,2
"worldvaluessurvey_wave6","East Germany",1012,1012,387,281,247,0,0,0,0
"worldvaluessurvey_wave6","Cyprus T",1000,1000,387,281,227,38,25,12,0
"worldvaluessurvey_wave6","Colombia",1512,1512,387,281,249,8,8,8,4
"worldvaluessurvey_wave6","China",2300,2300,387,281,237,90,32,8,0
"worldvaluessurvey_wave6","Chile",1000,1000,387,281,238,175,125,73,42
"worldvaluessurvey_wave6","Brazil",1486,1486,387,281,250,0,0,0,0
"worldvaluessurvey_wave6","Belarus",1535,1535,387,281,216,41,34,19,2
"worldvaluessurvey_wave6","Bahrain",1200,1200,387,281,211,145,95,14,0
"worldvaluessurvey_wave6","Azerbaijan",1002,1002,387,281,239,26,15,8,0
"worldvaluessurvey_wave6","Australia",1477,1477,387,281,237,0,0,0,0
"worldvaluessurvey_wave6","Armenia",1100,1100,387,281,230,0,0,0,0
"worldvaluessurvey_wave6","Argentina",1030,1030,387,281,237,4,4,4,0
"worldvaluessurvey_wave6","Algeria",1200,1200,387,281,246,226,182,121,13
"worldvaluessurvey_wave5","Zambia",1500,1500,366,295,224,106,93,76,24
"worldvaluessurvey_wave5","West Germany_ballot_b",488,488,366,295,227,0,0,0,0
"worldvaluessurvey_wave5","West Germany_ballot_a",500,500,366,295,226,0,0,0,0
"worldvaluessurvey_wave5","Viet Nam",1495,1495,366,295,220,119,56,4,2
"worldvaluessurvey_wave5","Uruguay",1000,1000,366,295,224,12,6,0,0
"worldvaluessurvey_wave5","United States_ballot_b",605,605,366,295,229,0,0,0,0
"worldvaluessurvey_wave5","United States_ballot_a",611,611,366,295,224,0,0,0,0
"worldvaluessurvey_wave5","United States",33,33,366,295,161,12,11,6,0
"worldvaluessurvey_wave5","Ukraine",1000,1000,366,295,221,0,0,0,0
"worldvaluessurvey_wave5","Turkey_ballot_b",1346,1346,366,295,224,19,8,2,0
"worldvaluessurvey_wave5","Trinidad and Tobago",1002,1002,366,295,219,2,2,2,0
"worldvaluessurvey_wave5","Thailand",1534,1534,366,295,231,124,111,81,34
"worldvaluessurvey_wave5","Taiwan",1227,1227,366,295,208,0,0,0,0
"worldvaluessurvey_wave5","Switzerland",1241,1241,366,295,216,0,0,0,0
"worldvaluessurvey_wave5","Sweden_ballot_b",493,493,366,295,231,0,0,0,0
"worldvaluessurvey_wave5","Sweden_ballot_a",510,510,366,295,226,0,0,0,0
"worldvaluessurvey_wave5","Spain_ballot_b",597,597,366,295,221,12,2,0,0
"worldvaluessurvey_wave5","Spain_ballot_a",602,602,366,295,216,14,0,0,0
"worldvaluessurvey_wave5","South Korea",1200,1200,366,295,221,540,534,530,448
"worldvaluessurvey_wave5","South Africa",2988,2988,366,295,230,15,8,4,0
"worldvaluessurvey_wave5","Slovenia",1037,1037,366,295,223,0,0,0,0
"worldvaluessurvey_wave5","Serbia and Montenegro",1220,1220,366,295,222,35,22,16,0
"worldvaluessurvey_wave5","Rwanda",1507,1507,366,295,210,17,2,2,2
