"dataset","country","initial_observations","final_observations","orig_dat_vars","substantive_dat_vars","final_variables","dup_observations_at_85","dup_observations_at_90","dup_observations_at_95","dup_observations_at_100"
"worldvaluessurvey_wave6","Zimbabwe",1500,1500,387,282,239,74,66,41,4
"worldvaluessurvey_wave6","Yemen",1000,1000,387,282,244,6,2,0,0
"worldvaluessurvey_wave6","West Germany",1034,1034,387,282,248,0,0,0,0
"worldvaluessurvey_wave6","Uzbekistan",1500,1500,387,282,214,15,5,2,0
"worldvaluessurvey_wave6","Uruguay",1000,1000,387,282,238,0,0,0,0
"worldvaluessurvey_wave6","United States",2232,2232,387,282,226,13,12,9,3
"worldvaluessurvey_wave6","Ukraine",1500,1500,387,282,239,11,11,9,0
"worldvaluessurvey_wave6","Turkey",1605,1605,387,282,227,25,17,8,0
"worldvaluessurvey_wave6","Tunisia",1205,1205,387,282,245,33,24,15,2
"worldvaluessurvey_wave6","Trinidad and Tobago",999,999,387,282,224,2,2,0,0
"worldvaluessurvey_wave6","Thailand",1200,1200,387,282,251,95,65,19,0
"worldvaluessurvey_wave6","Taiwan",1238,1238,387,282,237,9,4,0,0
"worldvaluessurvey_wave6","Sweden",1206,1206,387,282,229,0,0,0,0
"worldvaluessurvey_wave6","Spain",1189,1189,387,282,219,6,4,4,2
"worldvaluessurvey_wave6","South Korea",1200,1200,387,282,227,15,6,0,0
"worldvaluessurvey_wave6","South Africa",3531,3531,387,282,251,2,2,2,0
"worldvaluessurvey_wave6","Slovenia",1069,1069,387,282,229,0,0,0,0
"worldvaluessurvey_wave6","Singapore",1972,1972,387,282,238,2,2,0,0
"worldvaluessurvey_wave6","Rwanda",1527,1527,387,282,251,32,16,7,0
"worldvaluessurvey_wave6","Russia",2500,2500,387,282,228,29,12,6,0
"worldvaluessurvey_wave6","Romania",1503,1503,387,282,239,0,0,0,0
"worldvaluessurvey_wave6","Qatar",1060,1060,387,282,194,0,0,0,0
"worldvaluessurvey_wave6","Poland",966,966,387,282,239,0,0,0,0
"worldvaluessurvey_wave6","Philippines",1200,1200,387,282,240,0,0,0,0
"worldvaluessurvey_wave6","Peru",1210,1210,387,282,238,11,9,8,0
"worldvaluessurvey_wave6","Palestine",1000,1000,387,282,246,33,15,0,0
"worldvaluessurvey_wave6","Pakistan",1200,1200,387,282,250,185,130,56,0
"worldvaluessurvey_wave6","Nigeria",1759,1759,387,282,239,194,159,87,3
"worldvaluessurvey_wave6","New Zealand",841,841,387,282,216,0,0,0,0
