"dataset","country_id","initial_observations","final_observations","orig_dat_vars","substantive_dat_vars","final_variables","dup_observations_at_85","dup_observations_at_90","dup_observations_at_95","dup_observations_at_100"
"afrobarometer_wave4","Zimbabwe",1200,1200,294,196,194,2,0,0,0
"afrobarometer_wave4","Zambia",1200,1200,294,196,194,0,0,0,0
"afrobarometer_wave4","Uganda",2431,2431,294,196,194,48,16,8,2
"afrobarometer_wave4","Tanzania",1208,1208,294,196,194,0,0,0,0
"afrobarometer_wave4","South Africa",2400,2400,294,196,194,98,60,13,0
"afrobarometer_wave4","Senegal",1200,1200,294,196,194,0,0,0,0
"afrobarometer_wave4","Nigeria",2324,2324,294,196,194,219,131,48,4
"afrobarometer_wave4","Namibia",1200,1200,294,196,194,24,12,4,0
"afrobarometer_wave4","Mozambique",1200,1200,294,196,194,4,0,0,0
"afrobarometer_wave4","Mali",1232,1232,294,196,194,4,0,0,0
"afrobarometer_wave4","Malawi",1200,1200,294,196,194,0,0,0,0
"afrobarometer_wave4","Madagascar",1350,1350,294,196,194,28,6,0,0
"afrobarometer_wave4","Liberia",1200,1200,294,196,194,0,0,0,0
"afrobarometer_wave4","Lesotho",1200,1200,294,196,193,0,0,0,0
"afrobarometer_wave4","Kenya",1104,1104,294,196,194,4,4,2,0
"afrobarometer_wave4","Ghana",1200,1200,294,196,193,2,2,0,0
"afrobarometer_wave4","Cape Verde",1264,1264,294,196,185,2,0,0,0
"afrobarometer_wave4","Burkina Faso",1200,1200,294,196,194,0,0,0,0
"afrobarometer_wave4","Botswana",1200,1200,294,196,194,0,0,0,0
"afrobarometer_wave4","Benin",1200,1200,294,196,194,4,0,0,0
"afrobarometer_wave3","Zimbabwe",1048,1048,302,221,176,13,2,0,0
"afrobarometer_wave3","Zambia",1200,1200,302,221,220,93,43,10,0
"afrobarometer_wave3","Uganda",2400,2400,302,221,220,14,6,2,0
"afrobarometer_wave3","Tanzania",1304,1304,302,221,220,2,0,0,0
"afrobarometer_wave3","South Africa",2400,2400,302,221,219,79,54,16,0
"afrobarometer_wave3","Senegal",1200,1200,302,221,220,0,0,0,0
"afrobarometer_wave3","Nigeria",2363,2363,302,221,220,22,6,0,0
"afrobarometer_wave3","Namibia",1200,1200,302,221,220,0,0,0,0
"afrobarometer_wave3","Mozambique",1198,1198,302,221,220,8,2,0,0
"afrobarometer_wave3","Mali",1244,1244,302,221,220,0,0,0,0
"afrobarometer_wave3","Malawi",1200,1200,302,221,219,0,0,0,0
"afrobarometer_wave3","Madagascar",1350,1350,302,221,219,5,2,0,0
"afrobarometer_wave3","Lesotho",1161,1161,302,221,220,0,0,0,0
"afrobarometer_wave3","Kenya",1278,1278,302,221,219,0,0,0,0
"afrobarometer_wave3","Ghana",1197,1197,302,221,220,0,0,0,0
"afrobarometer_wave3","Cape Verde",1256,1256,302,221,217,16,2,0,0
"afrobarometer_wave3","Botswana",1200,1200,302,221,220,0,0,0,0
"afrobarometer_wave3","Benin",1198,1198,302,221,220,9,0,0,0
"afrobarometer_wave2","Zimbabwe",1104,1104,330,230,140,0,0,0,0
"afrobarometer_wave2","Zambia",1198,1198,330,230,229,0,0,0,0
"afrobarometer_wave2","Uganda",2400,2400,330,230,229,8,8,6,0
"afrobarometer_wave2","Tanzania",1223,1223,330,230,228,54,26,12,0
"afrobarometer_wave2","South Africa",2400,2400,330,230,227,29,17,7,0
"afrobarometer_wave2","Senegal",1200,1200,330,230,228,108,106,94,0
"afrobarometer_wave2","Nigeria",2428,2428,330,230,229,99,50,18,0
"afrobarometer_wave2","Namibia",1199,1199,330,230,229,2,2,0,0
"afrobarometer_wave2","Mozambique",1400,1400,330,230,228,6,6,2,0
"afrobarometer_wave2","Mali",1283,1283,330,230,228,5,2,0,0
"afrobarometer_wave2","Malawi",1200,1200,330,230,226,6,6,4,0
"afrobarometer_wave2","Lesotho",1200,1200,330,230,229,6,6,2,0
"afrobarometer_wave2","Kenya",2398,2398,330,230,228,12,10,0,0
"afrobarometer_wave2","Ghana",1200,1200,330,230,228,26,20,14,0
"afrobarometer_wave2","Cape Verde",1268,1268,330,230,222,6,0,0,0
"afrobarometer_wave2","Botswana",1200,1200,330,230,226,4,4,2,0
"afrobarometer_wave1","Zimbabwe",1200,1200,144,120,113,59,38,8,4
"afrobarometer_wave1","Zambia",1198,1198,144,120,115,29,11,0,0
"afrobarometer_wave1","Uganda",2271,2271,144,120,68,4,2,2,0
"afrobarometer_wave1","Tanzania",2198,2198,144,120,110,56,38,6,0
"afrobarometer_wave1","South Africa",2200,2200,144,120,119,94,71,25,10
"afrobarometer_wave1","Nigeria",3603,3603,144,120,104,129,85,70,20
"afrobarometer_wave1","Namibia",1183,1183,144,120,110,52,31,8,0
"afrobarometer_wave1","Mali",2089,2089,144,120,110,11,6,2,2
"afrobarometer_wave1","Malawi",1208,1208,144,120,114,11,2,0,0
"afrobarometer_wave1","Lesotho",1177,1177,144,120,110,17,11,2,0
"afrobarometer_wave1","Ghana",2004,2004,144,120,81,8,4,2,2
"afrobarometer_wave1","Botswana",1200,1200,144,120,110,4,4,4,0
