"dataset","country_id","initial_observations","final_observations","orig_dat_vars","substantive_dat_vars","final_variables","dup_observations_at_85","dup_observations_at_90","dup_observations_at_95","dup_observations_at_100"
"worldvaluessurvey_wave6.dta","Zimbabwe",1500,1500,387,283,239,74,66,41,4
"worldvaluessurvey_wave6.dta","Yemen",1000,1000,387,283,244,6,2,0,0
"worldvaluessurvey_wave6.dta","West Germany",1034,1034,387,283,241,8,0,0,0
"worldvaluessurvey_wave6.dta","Uzbekistan",1500,1500,387,283,252,0,0,0,0
"worldvaluessurvey_wave6.dta","Uruguay",1000,1000,387,283,214,15,5,2,0
"worldvaluessurvey_wave6.dta","United States",2232,2232,387,283,242,6,6,5,2
"worldvaluessurvey_wave6.dta","Ukraine",1500,1500,387,283,241,7,6,4,0
"worldvaluessurvey_wave6.dta","Turkey",1605,1605,387,283,241,0,0,0,0
"worldvaluessurvey_wave6.dta","Tunisia",1205,1205,387,283,252,0,0,0,0
"worldvaluessurvey_wave6.dta","Trinidad and Tobago",999,999,387,283,245,29,20,11,2
"worldvaluessurvey_wave6.dta","Thailand",1200,1200,387,283,255,0,0,0,0
"worldvaluessurvey_wave6.dta","Taiwan",1238,1238,387,283,253,0,0,0,0
"worldvaluessurvey_wave6.dta","Sweden",1206,1206,387,283,242,0,0,0,0
"worldvaluessurvey_wave6.dta","Spain",1189,1189,387,283,230,0,0,0,0
"worldvaluessurvey_wave6.dta","South Korea",1200,1200,387,283,251,0,0,0,0
"worldvaluessurvey_wave6.dta","South Africa",3531,3531,387,283,255,24,15,4,2
"worldvaluessurvey_wave6.dta","Slovenia",1069,1069,387,283,253,0,0,0,0
"worldvaluessurvey_wave6.dta","Singapore",1972,1972,387,283,253,0,0,0,0
"worldvaluessurvey_wave6.dta","Rwanda",1527,1526,387,283,253,0,0,0,0
"worldvaluessurvey_wave6.dta","Russia",2500,2500,387,283,252,0,0,0,0
"worldvaluessurvey_wave6.dta","Romania",1503,1503,387,283,241,0,0,0,0
"worldvaluessurvey_wave6.dta","Qatar",1060,1060,387,283,241,0,0,0,0
"worldvaluessurvey_wave6.dta","Poland",966,966,387,283,194,0,0,0,0
"worldvaluessurvey_wave6.dta","Philippines",1200,1200,387,283,244,0,0,0,0
"worldvaluessurvey_wave6.dta","Peru",1210,1210,387,283,241,0,0,0,0
"worldvaluessurvey_wave6.dta","Palestine",1000,1000,387,283,238,11,9,8,0
"worldvaluessurvey_wave6.dta","Pakistan",1200,1200,387,283,254,0,0,0,0
"worldvaluessurvey_wave6.dta","Nigeria",1759,1759,387,283,253,186,112,41,0
"worldvaluessurvey_wave6.dta","New Zealand",841,841,387,283,239,117,101,62,3
"worldvaluessurvey_wave6.dta","Netherlands",1902,1902,387,283,254,6,2,2,0
"worldvaluessurvey_wave6.dta","Morocco",1200,1200,387,283,253,18,7,0,0
"worldvaluessurvey_wave6.dta","Mexico",2000,2000,387,283,244,0,0,0,0
"worldvaluessurvey_wave6.dta","Malaysia",1300,1300,387,283,243,9,4,2,0
"worldvaluessurvey_wave6.dta","Libya",2131,2131,387,283,253,97,40,13,0
"worldvaluessurvey_wave6.dta","Lebanon",1200,1200,387,283,252,28,10,0,0
"worldvaluessurvey_wave6.dta","Kyrgyzstan",1500,1500,387,283,253,0,0,0,0
"worldvaluessurvey_wave6.dta","Kuwait",1303,1303,387,283,252,0,0,0,0
"worldvaluessurvey_wave6.dta","Kazakhstan",1500,1500,387,283,252,0,0,0,0
"worldvaluessurvey_wave6.dta","Jordan",1200,1200,387,283,252,160,110,70,2
"worldvaluessurvey_wave6.dta","Japan",2443,2443,387,283,250,4,0,0,0
"worldvaluessurvey_wave6.dta","Iraq",1200,1200,387,283,252,0,0,0,0
