"dataset","country_id","initial_observations","final_observations","orig_dat_vars","substantive_dat_vars","final_variables","dup_observations_at_85","dup_observations_at_90","dup_observations_at_95","dup_observations_at_100"
"americas_barometer_2012","9",1500,1478,1791,301,35,32,24,10,4
"americas_barometer_2012","8",1512,1490,1791,301,37,8,4,0,0
"americas_barometer_2012","7",1620,1593,1791,301,33,94,17,0,0
"americas_barometer_2012","6",1498,1472,1791,301,30,12,6,2,2
"americas_barometer_2012","5",1686,1683,1791,301,32,16,6,0,0
"americas_barometer_2012","4",1728,1667,1791,301,35,54,9,0,0
"americas_barometer_2012","3",1497,1432,1791,301,36,2,0,0,0
"americas_barometer_2012","26",1512,1502,1791,301,33,7,3,0,0
"americas_barometer_2012","24",1529,1503,1791,301,29,26,5,0,0
"americas_barometer_2012","23",1500,1471,1791,301,30,14,4,0,0
"americas_barometer_2012","22",1836,1818,1791,301,31,8,4,4,0
"americas_barometer_2012","21",1512,1495,1791,301,33,7,2,0,0
"americas_barometer_2012","2",1509,1450,1791,301,37,0,0,0,0
"americas_barometer_2012","15",1499,1494,1791,301,39,20,16,4,0
"americas_barometer_2012","14",1512,1484,1791,301,30,12,2,2,0
"americas_barometer_2012","12",1510,1474,1791,301,31,5,2,0,0
"americas_barometer_2012","11",1500,1492,1791,301,36,2,2,0,0
"americas_barometer_2012","1",1560,1542,1791,301,31,13,4,2,0
"americas_barometer_2010","9",2999,2953,1791,301,29,19,14,12,10
"americas_barometer_2010","8",1506,1481,1791,301,36,0,0,0,0
"americas_barometer_2010","7",1536,1518,1791,301,33,13,2,0,0
"americas_barometer_2010","6",1500,1477,1791,301,28,58,9,2,0
"americas_barometer_2010","5",1540,1485,1791,301,29,5,0,0,0
"americas_barometer_2010","4",1596,1572,1791,301,35,9,2,0,0
"americas_barometer_2010","3",1550,1545,1791,301,32,2,2,0,0
"americas_barometer_2010","26",1504,1474,1791,301,29,6,2,2,0
"americas_barometer_2010","24",1540,1496,1791,301,25,23,4,2,0
"americas_barometer_2010","23",1504,1448,1791,301,26,15,8,4,0
"americas_barometer_2010","22",1752,1748,1791,301,27,21,0,0,0
