"dataset","country","initial_observations","final_observations","orig_dat_vars","substantive_dat_vars","final_variables","dup_observations_at_85","dup_observations_at_90","dup_observations_at_95","dup_observations_at_100"
"internationalsocialsurvey_2012","ZA_South Africa",2547,2547,389,84,54,57,22,11,5
"internationalsocialsurvey_2012","VE_Venezuela",1016,1016,389,84,59,119,95,76,68
"internationalsocialsurvey_2012","US_United States",1302,1302,389,84,58,5,5,3,2
"internationalsocialsurvey_2012","TW_Taiwan",2072,2072,389,84,58,12,0,0,0
"internationalsocialsurvey_2012","TR_Turkey",1620,1620,389,84,59,86,40,8,0
"internationalsocialsurvey_2012","SK_Slovakia",1128,1128,389,84,59,0,0,0,0
"internationalsocialsurvey_2012","SI_Slovenia",1034,1034,389,84,58,5,0,0,0
"internationalsocialsurvey_2012","SE_Sweden",1060,1060,389,84,59,0,0,0,0
"internationalsocialsurvey_2012","RU_Russia",1525,1525,389,84,57,30,16,10,4
"internationalsocialsurvey_2012","PL_Poland",1115,1115,389,84,59,2,0,0,0
"internationalsocialsurvey_2012","PH_Philippines",1200,1200,389,84,57,0,0,0,0
"internationalsocialsurvey_2012","NO_Norway",1444,1444,389,84,59,0,0,0,0
"internationalsocialsurvey_2012","MX_Mexico",1527,1527,389,84,57,2,0,0,0
"internationalsocialsurvey_2012","LV_Latvia",1000,1000,389,84,59,14,4,2,0
"internationalsocialsurvey_2012","LT_Lithuania",1187,1187,389,84,59,14,2,0,0
"internationalsocialsurvey_2012","KR_South Korea",1396,1396,389,84,59,2,0,0,0
"internationalsocialsurvey_2012","JP_Japan",1212,1212,389,84,57,4,0,0,0
"internationalsocialsurvey_2012","IS_Iceland",1172,1172,389,84,59,4,2,0,0
"internationalsocialsurvey_2012","IN_India",1660,1660,389,84,58,376,257,107,13
"internationalsocialsurvey_2012","IL_Israel",1220,1220,389,84,59,11,2,0,0
"internationalsocialsurvey_2012","IE_Ireland",1215,1215,389,84,58,0,0,0,0
"internationalsocialsurvey_2012","HR_Croatia",1000,1000,389,84,59,0,0,0,0
"internationalsocialsurvey_2012","GB_GBN_Great Britain",950,950,389,84,56,0,0,0,0
"internationalsocialsurvey_2012","FR_France",2409,2409,389,84,58,0,0,0,0
"internationalsocialsurvey_2012","FI_Finland",1171,1171,389,84,59,0,0,0,0
"internationalsocialsurvey_2012","ES_Spain",2595,2595,389,84,58,0,0,0,0
"internationalsocialsurvey_2012","DK_Denmark",1403,1403,389,84,58,0,0,0,0
"internationalsocialsurvey_2012","DE_W_Germany_West",1208,1208,389,84,59,0,0,0,0
"internationalsocialsurvey_2012","DE_E_Germany_East",558,558,389,84,59,0,0,0,0
"internationalsocialsurvey_2012","CZ_Czech Republic",1804,1804,389,84,59,31,12,0,0
"internationalsocialsurvey_2012","CN_China",5946,5946,389,84,57,114,45,12,2
"internationalsocialsurvey_2012","CL_Chile",1564,1564,389,84,59,2,0,0,0
"internationalsocialsurvey_2012","CH_Switzerland",1237,1237,389,84,58,2,0,0,0
"internationalsocialsurvey_2012","CA_Canada",983,983,389,84,59,6,6,6,6
"internationalsocialsurvey_2012","BG_Bulgaria",1003,1003,389,84,57,23,10,6,2
"internationalsocialsurvey_2012","AU_Australia",1612,1612,389,84,58,4,0,0,0
"internationalsocialsurvey_2012","AT_Austria",1182,1182,389,84,58,6,0,0,0
"internationalsocialsurvey_2012","AR_Argentina",977,977,389,84,59,0,0,0,0
"internationalsocialsurvey_2011","ZA_South Africa",3004,3004,336,66,58,184,151,121,58
"internationalsocialsurvey_2011","US_United States",1550,1550,336,66,60,0,0,0,0
"internationalsocialsurvey_2011","TW_Taiwan",2199,2199,336,66,58,0,0,0,0
"internationalsocialsurvey_2011","TR_Turkey",1559,1559,336,66,65,50,11,3,0
"internationalsocialsurvey_2011","SK_Slovak Republic",1128,1128,336,66,60,0,0,0,0
"internationalsocialsurvey_2011","SI_Slovenia",1082,1082,336,66,60,19,0,0,0
"internationalsocialsurvey_2011","SE_Sweden",1158,1158,336,66,60,0,0,0,0
"internationalsocialsurvey_2011","RU_Russia",1511,1511,336,66,65,7,2,0,0
"internationalsocialsurvey_2011","PT_Portugal",1022,1022,336,66,60,0,0,0,0
"internationalsocialsurvey_2011","PL_Poland",1115,1115,336,66,60,0,0,0,0
