"dataset","country_id","initial_observations","final_observations","orig_dat_vars","substantive_dat_vars","final_variables","dup_observations_at_85","dup_observations_at_90","dup_observations_at_95","dup_observations_at_100"
"Sadat_2008","UAE",500,500,168,142,48,0,0,0,0
"Sadat_2008","Morocco",756,756,168,142,49,276,141,97,51
"Sadat_2008","Lebanon",600,600,168,142,49,40,7,6,0
"Sadat_2008","KSA",750,750,168,142,49,220,143,72,18
"Sadat_2008","Jordan",600,600,168,142,47,181,11,2,0
"Sadat_2008","Egypt",840,840,168,142,50,183,136,92,59
"Sadat_2006","UAE",500,500,89,65,63,268,248,233,131
"Sadat_2006","Morocco",750,750,89,65,61,49,6,0,0
"Sadat_2006","Lebanon",600,600,89,65,62,28,8,0,0
"Sadat_2006","KSA",750,750,89,65,62,83,29,6,0
"Sadat_2006","Jordan",450,450,89,65,63,4,2,0,0
"Sadat_2006","Egypt",800,800,89,65,62,113,57,27,4
"Sadat_2005","United Arab Emirates                                                                                ",217,217,107,83,58,34,20,12,4
"Sadat_2005","Saudi Arabia                                                                                        ",800,800,107,83,57,99,32,8,0
"Sadat_2005","Morocco                                                                                             ",800,800,107,83,45,4,2,2,0
"Sadat_2005","Lebanon                                                                                             ",500,500,107,83,56,28,5,2,2
"Sadat_2005","Jordan                                                                                              ",500,500,107,83,56,27,24,11,2
"Sadat_2005","Egypt                                                                                               ",800,800,107,83,48,383,216,88,15
"Sadat_2004","UAE",386,380,81,69,54,0,0,0,0
"Sadat_2004","Saudi Arabia",700,700,81,69,67,83,17,6,4
"Sadat_2004","Morocco",700,700,81,69,67,10,6,4,4
"Sadat_2004","Lebanon",400,400,81,69,67,22,0,0,0
"Sadat_2004","Jordan",400,400,81,69,67,12,4,0,0
"Sadat_2004","Egypt",850,850,81,69,60,808,766,620,244
"Sadat_2003","UAE",400,400,75,70,56,124,111,93,34
"Sadat_2003","Morocco",700,700,75,70,61,35,12,2,0
"Sadat_2003","Lebanon",400,400,75,70,58,42,24,6,4
"Sadat_2003","KSA",700,700,75,70,66,212,59,2,0
"Sadat_2003","Jordan",400,397,75,70,54,23,6,0,0
"Sadat_2003","Egypt",700,684,75,70,52,118,97,57,19
