ID#,q0,q1000,q117,q118,q119,q120,q121,q122,q123,q124,q125,q51,q52,q53,q54,q55,q56,q57,q58,q59,q60,q61,q62,q63,q64,q65,q66,q67,q68,q69,q70,q71,q72,q73,q74,q75,q76,q77,q78,q79,q80,q81,q82,q83,q84,q85,q86,q87,q88,q89,q90,q91,q92,q93,q94,q95,q96,q97,q98,q99,q100,q101,q102,q103,q104,st105_1,st105_2,q106,q107,q108,q109,q110,q111,q112,q113,q114,q115,q116,wt,wt2,wt3
2004-0001,Lebanon,2,21,1,1,1,5,2,,5,2,1,1,2,2,4,2,2,4,4,1,4,2,4,4,4,4,3,3,6,3,1,2,2,1,2,3,1,3,2,2,2,1,4,2,2,4,5,5,3,1,3,5,4,2,2,1,2,2,3,2,4,1,2,3,3,7,1,1,1,1,2,1,2,3,3,1,2,1.00,0.26,0.26
2004-0002,Lebanon,5,61,1,1,1,3,1,2,4,1,1,1,2,25,2,4,3,8,5,1,4,2,4,4,4,2,4,3,4,3,2,1,2,3,3,1,1,1,4,2,2,2,3,2,3,1,5,5,1,1,5,5,5,5,2,1,2,2,2,2,1,2,6,6,3,6,2,1,1,2,1,4,1,1,1,1,1,0.73,0.26,0.19
2004-0003,Lebanon,3,61,1,1,2,4,1,2,4,2,1,1,2,4,8,4,1,8,4,4,4,2,4,4,4,2,4,7,99,2,3,2,2,2,2,2,1,2,3,2,3,2,1,2,2,4,5,5,5,5,5,5,5,5,2,1,2,2,2,2,1,3,1,3,14,15,2,3,1,1,5,2,2,2,2,2,1,0.73,0.26,0.19
2004-0004,Lebanon,5,60,1,1,1,3,1,2,4,1,1,1,2,4,2,4,3,2,4,1,4,1,4,4,4,4,4,3,4,2,1,1,2,1,2,3,1,1,2,2,2,2,1,2,1,5,5,5,5,5,4,5,5,1,2,1,2,2,2,4,1,2,7,3,3,6,10,2,1,1,2,2,3,2,2,2,2,0.73,0.26,0.19
2004-0005,Lebanon,3,60,1,1,1,4,2,2,4,2,2,2,2,2,11,2,2,11,4,3,4,4,4,4,4,4,4,7,99,2,3,1,2,2,2,2,1,2,3,2,3,2,1,2,3,4,4,4,4,4,4,4,4,4,2,1,2,2,2,2,1,3,1,1,1,7,2,3,1,1,5,3,4,2,2,2,2,0.73,0.26,0.19
2004-0006,Lebanon,3,60,1,2,99,3,2,2,3,1,2,2,3,2,11,2,2,11,4,3,4,4,4,4,4,4,4,7,99,2,3,2,2,2,2,2,1,2,3,2,3,3,1,2,3,5,5,5,5,5,5,5,5,5,2,1,2,2,2,4,1,3,1,3,1,6,2,1,1,1,5,2,3,2,2,2,2,0.73,0.26,0.19
2004-0007,Lebanon,1,60,1,2,99,2,2,2,3,1,1,1,2,2,11,4,3,2,2,1,4,3,4,4,2,2,3,7,99,2,5,2,2,1,1,2,3,2,3,2,2,3,3,2,2,3,2,4,3,5,4,5,3,4,2,1,2,2,2,5,2,2,2,3,1,15,4,1,1,1,6,3,2,2,1,2,2,0.73,0.26,0.19
2004-0008,Lebanon,3,56,1,1,2,3,2,2,3,2,1,1,2,4,8,4,3,8,4,4,4,2,4,4,4,3,4,7,99,2,3,2,2,2,2,2,1,2,3,2,3,1,3,2,3,5,5,5,5,5,5,5,5,5,2,1,2,2,2,3,1,3,1,3,1,7,2,1,1,1,5,3,3,2,2,2,1,0.73,0.26,0.19
2004-0009,Lebanon,3,55,1,1,1,4,1,2,3,1,1,1,5,2,11,2,6,11,4,3,4,4,4,4,4,4,4,4,3,2,3,2,2,2,2,2,1,1,2,2,3,2,1,3,99,5,5,5,5,5,5,5,5,5,2,1,2,2,2,2,1,4,1,2,7,14,4,2,1,1,5,2,3,2,2,2,2,0.73,0.26,0.19
2004-0010,Lebanon,1,55,1,2,99,3,2,2,2,1,1,1,2,3,8,10,2,4,2,3,2,2,3,3,2,3,4,6,99,99,99,2,2,1,2,2,3,2,4,1,2,3,3,3,99,4,4,3,4,5,5,4,4,5,2,2,3,2,2,4,2,2,12,3,18,99,10,2,2,1,6,3,4,2,3,3,2,0.73,0.26,0.19
2004-0011,Lebanon,6,55,2,1,2,2,2,2,3,1,1,1,2,2,4,4,3,2,5,1,4,1,4,4,2,1,5,2,3,2,1,1,2,1,3,3,1,2,3,3,3,3,1,3,99,5,5,5,5,5,5,5,5,1,2,1,3,3,2,1,1,2,12,3,18,99,10,2,1,1,2,5,4,1,1,1,2,0.73,0.26,0.19
2004-0012,Lebanon,5,54,1,1,1,3,2,2,3,2,1,1,1,8,2,4,3,2,3,2,4,1,2,2,1,1,1,6,99,99,99,1,2,1,3,3,1,3,5,3,3,1,3,3,99,5,5,5,1,2,3,5,5,3,2,3,3,3,2,1,1,1,2,3,3,10,4,2,1,1,2,5,3,1,1,1,2,0.73,0.26,0.19
2004-0013,Lebanon,5,54,2,2,99,1,2,2,3,1,1,1,2,2,4,4,3,2,5,1,4,1,4,5,2,1,2,1,4,2,3,1,3,3,3,3,2,3,4,2,3,3,1,3,99,5,1,5,5,1,1,5,5,1,2,1,2,2,2,3,2,2,3,3,3,6,1,3,1,1,5,1,3,4,4,4,2,0.73,0.26,0.19
2004-0014,Lebanon,1,54,1,2,99,2,2,2,2,1,2,2,3,2,30,2,3,9,3,3,2,4,4,3,4,4,4,8,99,5,99,2,2,1,2,2,2,2,3,2,3,3,3,2,2,4,3,4,5,4,4,5,4,5,2,2,3,2,2,4,2,2,12,6,8,15,11,2,1,1,2,3,4,3,3,2,1,0.73,0.26,0.19
