ID#,q0,q999,q1000,q1001,q1002,q1003,q1004,q1005,q10000,q701,q702,q703,q704,q705,q706,q706b_2,q706b_3,q7060,q707,q934,q708,q921,q922,q601,q903,q54,q55,q56,q57,q58,q59,q60,q61,q62,q63,q64,q65,q66,q67,q68,q69,q70,q71,q72,q73,q74,q75,q76,q77,q78,q79,q80,q81,q82,q83,q84,q85,q86,q87,q88,q89,q90,q91,q92,q93,q94,q95,q96,q97,q98,q99,q100,q101,q102,q103,q104,q105,q106,q107,q108,q109,q110,q111,q112,q113,q114,q115,q116,q117,q118a,q118b,q120,q121,q122,q123,q124a,q124b,q125a,q125b,q126,q127,q128,q129,q130,q131,q132,q133,wt,wt2,wt3
2005-0001,United Arab Emirates,6,,,,,,2,1,34,1,1,2,2,2,,,,4,1,1,4,1,2.00,2.00,1,1,4,10,5,5,5,1,5,5,2,2,5,,,,,,5,,,,,,,,,,,,8,,,,,,,1,2,2,2,2,4,3,3,8,8,8,2,1,5,5,5,1,1,1,5,1,5,2,1,3,2,2,1,5,3,4,2,2,3,1,101,,20,1,3,3,3,6,4,4,0.41,0.17,0.07
2005-0002,United Arab Emirates,6,,,,,,1,2,33,1,1,2,2,2,,,,4,1,2,3,1,2.00,2.00,1,1,5,7,5,5,5,5,4,5,4,5,5,,,,,,3,,,,,,4,,,,,,6,,,,,,4,3,2,2,1,3,4,3,3,8,6,6,1,3,1,1,1,1,1,1,1,1,1,3,1,3,3,3,2,3,3,7,2,2,1,5,9,7,2,1,1,1,1,4,2,4,0.24,0.17,0.04
2005-0003,United Arab Emirates,6,,,,,,2,1,45,1,1,1,2,2,,,,4,1,1,3,2,2.00,2.00,1,1,1,4,3,6,6,4,6,6,2,4,6,,,,,,3,,,,,,2,,,,,,6,,,,,,5,1,4,4,4,4,6,3,3,8,1,6,1,3,5,5,5,6,1,6,5,6,5,2,1,2,2,2,3,4,2,6,3,3,1,5,22,,12,1,2,1,3,2,2,1,0.41,0.17,0.07
2005-0004,United Arab Emirates,6,,,,,,1,2,42,1,1,2,2,1,,,1,4,1,1,4,1,2.00,2.00,1,1,7,8,5,5,5,5,5,5,3,3,5,,,,,,3,,,,,,2,,,,,,6,,,,,,3,2,3,3,2,3,4,3,3,5,5,5,2,3,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,3,2,2,2,1,1,5,1,23,101,1,3,2,2,3,3,4,1.30,0.17,0.22
2005-0005,United Arab Emirates,6,,,,,,1,1,30,1,1,2,2,2,,,,3,1,1,2,1,2.00,1.00,1,1,7,8,3,2,1,3,1,3,2,2,1,,,,,,5,,,,,,,,,,,,2,,,,,,5,2,2,2,1,3,4,2,4,8,8,6,1,2,5,5,5,3,2,6,2,4,5,2,1,2,1,2,2,3,3,7,3,3,5,1,21,1,36,2,2,1,3,2,5,6,1.75,0.17,0.29
2005-0006,United Arab Emirates,6,,,,,,2,1,28,1,1,2,2,1,,,6,5,1,1,5,1,1.00,2.00,1,1,7,4,3,5,5,1,4,5,1,1,5,,,,,,4,,,,,,5,,,,,,1,,,,,,5,2,2,2,2,2,4,3,3,8,8,6,2,1,5,5,5,1,1,1,5,1,5,2,1,2,2,2,1,3,2,6,2,2,3,2,8,20,5,1,1,5,1,3,4,1,0.75,0.17,0.12
2005-0007,United Arab Emirates,6,,,,,,3,2,35,1,1,2,2,2,,,,4,1,1,7,2,2.00,2.00,1,1,3,10,6,3,1,6,6,6,4,6,6,,,,,,5,,,,,,,,,,,,8,,,,,,,2,2,1,2,3,4,3,3,8,5,4,2,2,5,5,5,1,1,2,5,1,5,2,3,2,2,3,2,3,3,6,1,1,2,1,4,5,1,1,1,3,3,2,4,6,0.58,0.17,0.10
2005-0008,United Arab Emirates,6,,,,,,2,2,39,1,2,2,2,2,,,,4,1,1,3,1,2.00,2.00,1,1,4,6,3,4,5,1,5,1,1,3,4,,,,,,2,,,,,,3,,,,,,6,,,,,,2,1,2,2,2,2,4,3,3,7,6,6,2,2,5,5,5,1,2,1,5,1,5,2,1,2,2,2,1,3,2,6,1,1,1,2,13,12,11,1,2,1,2,3,2,1,0.72,0.17,0.12
2005-0009,United Arab Emirates,6,,,,,,2,2,38,1,2,2,2,1,,,12,6,2,1,2,1,2.00,2.00,1,1,10,3,4,5,1,2,3,5,2,2,5,,,,,,5,,,,,,,,,,,,8,,,,,,,1,3,3,2,2,4,3,3,7,7,7,2,2,6,5,5,1,1,1,5,1,5,2,1,3,3,2,1,4,3,6,1,1,1,2,21,,20,1,3,5,3,6,4,2,0.72,0.17,0.12
2005-0010,United Arab Emirates,6,,,,,,2,2,28,1,2,2,2,2,,,,3,1,1,3,1,1.00,1.00,2,1,4,8,5,5,5,2,5,5,1,3,2,,,,,,3,,,,,,4,,,,,,2,,,,,,6,1,2,3,2,3,1,1,3,1,6,1,1,2,5,5,5,1,1,5,5,1,5,4,2,2,1,4,1,4,1,2,1,2,1,2,1,23,20,1,3,4,3,2,3,1,3.18,0.17,0.53
2005-0011,United Arab Emirates,6,,,,,,1,1,38,1,1,2,2,2,,,,4,1,1,4,2,2.00,2.00,1,1,4,8,5,5,5,4,4,5,3,4,5,,,,,,5,,,,,,,,,,,,3,,,,,,2,1,2,2,3,2,4,3,3,8,5,7,2,2,5,5,5,1,1,1,5,1,5,2,1,2,2,2,2,4,2,6,1,2,1,2,1,,20,1,3,3,3,1,4,4,0.73,0.17,0.12
2005-0012,United Arab Emirates,6,,,,,,1,1,30,1,1,2,2,2,,,,5,1,1,2,1,2.00,2.00,1,1,4,8,5,5,5,4,4,5,3,4,5,,,,,,5,,,,,,,,,,,,3,,,,,,2,1,2,2,3,2,4,3,3,8,5,7,2,2,5,5,5,1,1,1,5,1,5,2,1,2,2,2,2,4,2,6,1,2,1,2,1,,20,1,3,3,3,1,4,4,0.73,0.17,0.12
2005-0013,United Arab Emirates,6,,,,,,1,1,52,1,1,2,2,1,,,1,4,1,1,2,2,2.00,2.00,1,1,4,8,3,3,4,1,3,4,2,1,2,,,,,,1,,,,,,2,,,,,,8,,,,,,,2,2,2,1,1,3,2,2,6,5,6,1,2,4,5,5,2,2,2,5,3,4,2,1,2,2,2,4,,2,2,1,1,1,2,1,4,38,1,2,2,1,2,2,6,0.73,0.17,0.12
2005-0014,United Arab Emirates,6,,,,,,1,1,33,1,1,2,2,1,,,19,4,1,1,2,1,2.00,2.00,1,1,4,8,6,6,6,1,4,6,3,4,6,,,,,,1,,,,,,2,,,,,,4,,,,,,5,3,3,3,2,2,6,3,3,8,5,5,1,2,5,5,5,6,6,6,5,5,5,2,1,4,3,2,1,2,3,2,3,3,1,2,1,21,42,1,3,2,2,3,6,1,0.73,0.17,0.12
2005-0015,United Arab Emirates,6,,,,,,1,1,36,1,1,1,2,1,,,21,4,1,1,4,1,2.00,2.00,1,1,4,8,6,6,5,1,4,4,2,1,6,,,,,,4,,,,,,5,,,,,,8,,,,,,,1,2,1,2,2,3,3,3,8,8,8,1,2,1,5,5,1,1,2,5,1,5,2,1,2,2,2,1,2,3,5,1,3,1,2,1,28,44,1,1,1,3,1,6,6,0.73,0.17,0.12
2005-0016,United Arab Emirates,6,,,,,,3,2,32,1,1,2,2,2,,,,4,1,1,1,2,2.00,2.00,1,1,4,8,5,5,5,5,5,5,5,5,5,,,,,,3,,,,,,1,,,,,,6,,,,,,8,1,2,2,2,2,4,3,3,8,4,4,2,1,5,5,6,6,6,6,6,6,6,3,1,3,2,2,2,,3,3,2,2,1,2,1,,101,1,2,2,3,6,3,2,0.58,0.17,0.10
2005-0017,United Arab Emirates,6,,,,,,3,2,45,1,1,1,2,2,,,,4,1,1,5,1,2.00,2.00,1,1,4,11,5,3,4,1,6,6,6,6,3,,,,,,3,,,,,,4,,,,,,6,,,,,,5,1,2,2,1,1,4,3,3,4,4,1,1,2,5,5,5,6,6,6,5,6,5,2,1,2,1,2,2,4,3,2,1,2,2,1,101,,101,1,2,1,2,5,2,1,0.58,0.17,0.10
2005-0018,United Arab Emirates,6,,,,,,2,1,43,1,2,2,2,2,,,,3,2,1,7,1,2.00,1.00,1,1,4,6,4,6,4,1,6,1,1,3,5,,,,,,5,,,,,,,,,,,,9,,,,,,,1,2,1,1,2,4,3,3,8,4,6,1,2,5,5,5,1,1,1,5,1,5,2,1,2,2,2,2,4,3,6,1,3,1,2,21,4,101,1,2,2,1,2,2,1,0.97,0.17,0.16
2005-0019,United Arab Emirates,6,,,,,,1,1,41,1,1,2,2,1,,,6,3,2,1,1,1,2.00,1.00,1,1,4,8,6,6,5,1,6,6,4,1,4,,,,,,5,,,,,,,,,,,,4,,,,,,5,2,2,2,1,2,3,3,4,8,4,4,2,3,3,5,3,1,2,3,5,3,5,2,1,3,2,2,9,,2,3,3,3,1,2,1,27,5,2,2,5,2,1,6,4,1.75,0.17,0.29
2005-0020,United Arab Emirates,6,,,,,,1,1,36,1,1,2,2,1,,,6,3,2,1,2,2,2.00,1.00,1,1,4,8,5,6,5,1,5,5,4,1,4,,,,,,2,,,,,,1,,,,,,6,,,,,,3,2,3,2,1,4,4,4,4,8,4,4,2,2,4,5,4,2,3,3,2,4,1,3,3,3,3,4,2,4,4,5,3,3,1,2,1,21,14,2,2,5,1,5,6,6,1.75,0.17,0.29
