survey,country_var,ballot_var,ballot_resp,early_drop_vars,final_drop_var,missing_code,vars_to_ignore,notes
afrobarometer_wave1,country,NA,NA,refnumb casenumb occup gender age educ unemp urbrur medrad medtv mednew povfoo povwat povhth povelc povinc withinwt acrossw combinwt africawt afcombwt race language party area,NA,99,country acrosswt,
afrobarometer_wave2,country,NA,NA,respno backchk urbrur region hholdse1 hholdse2 hholdse3 hholdse4 hholdse5 hholdse6 hholdse7 prevint currint calls dateintr strtime,q80,NA,country,
afrobarometer_wave3,country,NA,NA,respno backchk urbrur region district hholdse1 hholdse2 hholdse3 hholdse4 hholdse5 hholdse6 hholdse7 prevint currint calls dateintr strtime q1 q2 q3,q90,NA,country,
afrobarometer_wave4,COUNTRY,NA,NA,RESPNO URBRUR BACKCHK REGION DISTRICT EA.SVC.A EA.SVC.B EA.SVC.C EA.SVC.D EA.FAC.A EA.FAC.B EA.FAC.C EA.FAC.D EA.FAC.E EA.SEC.A EA.SEC.B EA.ROAD NOCALL.1 NOCALL.2 NOCALL.3 NOCALL.4 NOCALL.5 NOCALL.6 NOCALL.7 PREVINT THISINT ADULT.CT CALLS DATEINTR STRTIME Q1 Q2 Q3 Q3OTHER,Q87,-1,country COUNTRY,
americasbarometer_2004,pais,NA,NA,year idnum idnum_14 estratopri estratosec strata upm prov municipio municipio04 municipio06 municipio08 municipio10 cluster ur tamano idiomaq fecha wt weight1500 odd q1,ed,NA,country pais,
americasbarometer_2006,pais,NA,NA,year idnum idnum_14 estratopri estratosec strata upm prov municipio municipio04 municipio06 municipio08 municipio10 cluster ur tamano idiomaq fecha wt weight1500 odd q1,ed,NA,country pais,
americasbarometer_2008,pais,NA,NA,year idnum idnum_14 estratopri estratosec strata upm prov municipio municipio04 municipio06 municipio08 municipio10 cluster ur tamano idiomaq fecha wt weight1500 odd q1,ed,NA,country pais,
americasbarometer_2010,pais,NA,NA,year idnum idnum_14 estratopri estratosec strata upm prov municipio municipio04 municipio06 municipio08 municipio10 cluster ur tamano idiomaq fecha wt weight1500 odd q1,ed,NA,country pais,
americasbarometer_2012,pais,NA,NA,year idnum idnum_14 estratopri estratosec strata upm prov municipio municipio04 municipio06 municipio08 municipio10 cluster ur tamano idiomaq fecha wt weight1500 odd q1,ed,NA,country pais,
internationalsocialsurvey_2008,V5,NA,NA,V1 V2 V3 V4 V5 C_ALPHAN,SEX,NA,country V5,
internationalsocialsurvey_2009,V5,NA,NA,V1 V2 V3 V4 V5 C_ALPHAN,SEX,NA,country V5,"RK's analysis goes through variable V53, whereas mine goes through variable V78"
internationalsocialsurvey_2010,V4,NA,NA,V1 V2 V3 V4 C_ALPHAN,SEX,NA,country V4,
internationalsocialsurvey_2011,V3,NA,NA,V1 V2 DOI V3 V4 C_ALPHAN,SEX,0,country V3,
internationalsocialsurvey_2012,V3,NA,NA,V1 V2 DOI V3 V4 C_ALPHAN,SEX,0,country V3,
latinobarometro_2008,idenpa,NA,NA,numinves idenpa numentre reg ciudad tamciud comdist edad sexo codigo diareal mesreal ini fin dura totrevi totcuot totrech totperd numcasa codsuper superv codif digit local_1 local_2 local_3 local_4 local_5 local_6 local_7 local_8 local_9 local_10,s1,NA,country idenpa,
latinobarometro_2009,idenpa,NA,NA,numinves idenpa numentre reg ciudad tamciud comdist codigo diareal mesreal ini fin dura totrevi totcuot totrech totperd numcasa codsuper supervvi superven codif digit local_1 local_2 local_3 local_4 local_5 local_6 local_7 local_8 local_9 local_10,p93_a,NA,country idenpa,
latinobarometro_2010,idenpa,NA,NA,numinves idenpa numentre reg ciudad tamciud comdist edad sexo codigo diareal mesreal ini fin dura totrevi totcuot totrech totperd numcasa codsuper supervvi superven codif digit local_1 local_2 local_3 local_4 local_5 local_6 local_7 local_8 local_9 local_10,S1NCC,NA,country idenpa,
latinobarometro_2011,idenpa,NA,NA,numinves idenpa numentre reg ciudad tamciud comdist edad sexo codigo diareal mesreal ini fin dura totrevi totcuot totrech totperd numcasa codsuper supervvi superven codif digit LOCAL1 LOCAL2 LOCAL3 LOCAL4 LOCAL5 LOCAL6 LOCAL7 LOCAL8 LOCAL9 LOCAL10,S1NICC7,NA,country idenpa,
latinobarometro_2012,idenpa,NA,NA,numinves idenpa numentre reg ciudad tamciud comdist codigo diareal mesreal ini fin dura totrevi totcuot totrech totperd numcasa codsuper supervvi superven codif digit LOCAL1 LOCAL2 LOCAL3 LOCAL4 LOCAL5 LOCAL6 LOCAL7 LOCAL8 LOCAL9 LOCAL10,S1,NA,country idenpa,
pewglobalattitudes_2002,country,NA,NA,psraid quest.id,q73,NA,country,
pewglobalattitudes_2007,country,Form,Form_A Form_B,RID Form,Q107,NA,country,
pewglobalattitudes_2008,country,NA,NA,muslim,Q84ARG,NA,country,
pewglobalattitudes_2009,COUNTRY,NA,NA,MUSLIM,Q95ARG,NA,country,
pewglobalattitudes_2010,COUNTRY,NA,NA,PSRAID MUSLIM ARIZONA,Q128,NA,country COUNTRY,
pewglobalattitudes_2011,country,NA,NA,psraid,Q120BRA,NA,country,"used Q120BRA, not Q154BRA"
pewglobalattitudes_2012,country,NA,NA,psraid,Q164BRA,NA,country,"used Q164BRA, instead of Q164; seems modeled after 2013; not sure about this"
pewglobalattitudes_2013,COUNTRY,NA,NA,PSRAID PHONETYPE,Q164,NA,country COUNTRY,
pewreligion_africa,COUNTRY,NA,NA,PSRAID WEIGHT COUNTRY CHRELIGrec CHDENOMrec q76rec q77rec,Q96,NA,country COUNTRY,
pewreligion_muslims,COUNTRY,NA,NA,CASEID WEIGHT,Q95,NA,country COUNTRY,
pewreligion_pentecostals,country,NA,NA,psraid sample renewlst gpwgt pentwgt,gender,NA,country,
sadatchair_2003,q0,NA,NA,id q0 q907 q922 q100 q999,NA,NA,country q0,
sadatchair_2004,q0,NA,NA,q0 q1000 q117 q118 q119 q120 q121 q122 q123 q124 q125,wt,NA,country q0,
sadatchair_2005,q0,NA,NA,q0 q999 q1000 q1001 q1002 q1003 q1004 q1005 q10000 q701 q702 q703 q704 q705 q706 q706b.2 q706b.3 q707 q934 q708 q921 q922,wt,NA,country q0,
sadatchair_2006,q0,NA,NA,q0 q97 q701 q702 q703 q704 q705 q706 q903 q914 q980 q981 q915 q999 q919 q921 q934 q115 q922 q114 q116 q9070,wt,NA,country q0,
sadatchair_2008,q0,NA,NA,NA,Q701,NA,country q0,
worldvaluessurvey_wave1,V2,NA,NA,v1 V2 v3,v214,-4,country V2,
worldvaluessurvey_wave2,v2,NA,NA,v1 v2 v3,v353,-4,country v2,
worldvaluessurvey_wave3,V2,V2B,2,V1 V2 V2A V2B v3,V214,-4,country V2,
worldvaluessurvey_wave4,v2,NA,NA,v1 v2 V2A v3,v223,-4,country v2,
worldvaluessurvey_wave5,V2A,V1B,ballot_a ballot_b,V1 V1A V1B V2 V2A V3,V235,-4,country V2A,
worldvaluessurvey_wave6,V2A,NA,NA,V1 V2 V2A V3,V229,-4,country V2A,
